response_id,wave,response_date,country,state,dma,city_tier,age_band,gender,household_size,children_present,ethnicity,income_bracket,education_level,marital_status,primary_category,channel_preference,retailer_type,holiday_season_flag,unaided_aw_crunchwell,aided_aw_crunchwell,considers_crunchwell,consideration_set_size,purchase_frequency_qtr,price_sensitivity_1to5,promo_propensity_0to1,usage_primary,taste,quality,health,value,family_friendly,innovation,trust,likelihood_repurchase_1to5,nps_0to10,top_competitor,price_paid_usd,respondent_weight,aided_aw_honeynest,aided_aw_proteinpeak,aided_aw_morningoats,aided_aw_trailgrove,aided_aw_rootday,aided_aw_cheerios,aided_aw_field_honey,aided_aw_frosted_flakes,aided_aw_quaker,aided_aw_great_value_pl
R_00000001,2024Q1,2024-01-05,United States,IL,CHI,Tier 1,65+,Female,4,0,Non-Hispanic White,30-50K,Graduate,Divorced,Snacks,In-store,Online,0,1,1,1,2,4,4,0.258,Snack,3,4,4,4,4,4,3,3,6,Kashi,3.31,1.2346,1,0,0,0,1,1,1,0,1,0
R_00000002,2025Q2,2025-05-19,United States,FL,MIA,Tier 1,35-44,Female,2,2,Hispanic,150K+,Graduate,Single,Plant-Based Milk,Mixed,Hypermarket,0,0,0,0,2,3,5,0.46,Breakfast,4,4,5,2,4,1,3,3,8,Great Value PL,6.27,1.3696,0,0,0,0,1,1,0,0,1,0
R_00000003,2024Q2,2024-06-26,United States,MI,DET,Tier 1,55-64,Female,2,0,Hispanic,<30K,Bachelors,Single,Hot Cereal,Mixed,Supermarket,0,0,0,0,4,6,5,0.384,Breakfast,3,4,4,4,3,4,4,3,10,Great Value PL,6.6,1.1557,0,0,1,0,1,1,1,1,1,1
R_00000004,2025Q2,2025-06-22,United States,FL,ORL,Tier 1,35-44,Female,5,0,Hispanic,150K+,High School,Married,Snacks,In-store,Hypermarket,0,1,1,1,1,1,3,0.858,Breakfast,4,3,3,2,5,2,5,4,1,Field & Honey,7.21,0.8736,1,0,1,1,1,1,1,1,0,0
R_00000005,2025Q1,2025-01-04,United States,CA,LAX,Tier 2,25-34,Male,3,2,Non-Hispanic White,30-50K,High School,Married,Hot Cereal,Mixed,Supermarket,0,1,1,0,2,2,3,0.2,Snack,4,3,3,3,2,3,3,5,5,Magic Spoon,6.13,1.4954,1,1,1,1,0,1,0,1,1,1
R_00000006,2025Q4,2025-11-05,United States,NY,NYC,Tier 3,45-54,Male,3,0,Non-Hispanic White,150K+,Some College,Married,Bar,In-store,Hypermarket,1,1,1,0,2,4,3,0.882,Snack,2,4,2,5,3,3,4,3,8,Great Value PL,2.59,1.542,1,0,1,1,0,1,1,1,1,1
R_00000007,2024Q1,2024-03-15,United States,IN,IND,Tier 3,55-64,Male,3,1,Other,100-150K,High School,Single,Plant-Based Milk,Online,Online,0,1,1,0,3,0,4,0.437,Snack,2,2,3,2,5,2,2,4,6,Cheerios,6.11,1.4399,1,0,0,1,0,1,1,1,1,0
R_00000008,2026Q2,2026-04-15,United States,CA,LAX,Tier 3,65+,Male,2,0,Non-Hispanic Black,75-100K,Bachelors,Single,Bar,In-store,Supermarket,0,1,0,0,2,6,4,0.418,Breakfast,4,2,4,2,4,2,3,4,5,Cheerios,4.86,1.2881,1,1,0,0,1,1,0,1,1,0
R_00000009,2024Q1,2024-01-25,United States,TX,DAL,Tier 1,35-44,Male,3,1,Non-Hispanic White,150K+,Bachelors,Married,Granola,Mixed,Hypermarket,0,0,1,1,5,3,4,0.47,Breakfast,4,4,4,4,3,3,4,3,3,Field & Honey,2.74,1.1924,1,1,1,0,1,1,1,1,1,1
R_00000010,2024Q1,2024-01-04,United States,PA,PHL,Tier 2,35-44,Male,4,1,Non-Hispanic White,50-75K,Graduate,Married,RTE Cereal,Online,Supermarket,0,1,1,1,4,5,4,0.561,Post-Workout,5,5,3,3,3,2,4,5,5,Quaker,5.25,0.6912,1,1,0,1,1,1,1,0,1,1
R_00000011,2026Q2,2026-05-25,United States,PA,PHL,Tier 1,18-24,Male,3,1,Other,100-150K,Some College,Married,Hot Cereal,Mixed,Hypermarket,0,0,0,0,3,1,3,0.937,Breakfast,4,4,2,3,4,3,4,3,7,Kashi,3.44,1.0682,1,0,1,0,1,1,1,1,1,1
R_00000012,2025Q2,2025-05-03,United States,FL,ORL,Tier 2,25-34,Female,4,0,Non-Hispanic White,150K+,High School,Married,Bar,In-store,Club,0,0,1,0,2,5,5,0.882,Late Night,5,2,3,2,3,2,3,3,10,Magic Spoon,4.19,1.5794,0,1,1,0,1,1,1,0,1,1
R_00000013,2026Q2,2026-05-22,United States,IN,IND,Tier 2,25-34,Male,2,0,Non-Hispanic White,50-75K,Some College,Single,Granola,In-store,Supermarket,0,1,1,1,3,6,4,0.623,Breakfast,3,4,3,3,4,4,3,4,8,Great Value PL,4.97,1.1645,1,1,0,0,0,1,1,1,1,1
R_00000014,2025Q2,2025-06-11,United States,AL,AL-DMA,Tier 2,55-64,Female,3,0,Non-Hispanic White,50-75K,High School,Married,Bar,In-store,Supermarket,0,1,1,0,3,1,3,0.601,Breakfast,4,3,2,3,5,2,3,4,9,Kashi,2.88,1.2535,1,0,1,1,1,1,1,0,0,1
