Week_Start,Feed_Name,Cadence,Last_Refreshed,Lag_Hours,Status,Owner_Team
2026-01-05,NielsenIQ syndicated,Daily,2026-01-05 00:00:00,2,On-Track,Insights
2026-01-05,IRI Circana syndicated,Daily,2026-01-05 00:00:00,0,On-Track,Insights
2026-01-05,Numerator panel,Daily,2026-01-05 00:00:00,6,On-Track,Insights
2026-01-05,Walmart Luminate,Daily,2026-01-05 00:00:00,0,On-Track,External
2026-01-05,Kroger 84.51,Daily,2026-01-05 00:00:00,0,Lagging,External
2026-01-05,Target Roundel,Daily,2026-01-05 00:00:00,0,On-Track,External
2026-01-05,Amazon Brand Analytics,Daily,2026-01-05 00:00:00,0,On-Track,E-Comm
2026-01-05,Profitero digital shelf,Daily,2026-01-03 00:00:00,48,Stale,E-Comm
2026-01-05,SAP shipments,Hourly,2026-01-05 00:00:00,0,On-Track,IT
2026-01-05,SAP plan,Daily,2026-01-05 00:00:00,0,On-Track,IT
2026-01-05,Brandwatch social,Hourly,2026-01-04 00:00:00,24,Lagging,Marketing
2026-01-05,Sprout Social owned,Hourly,2026-01-05 00:00:00,0,On-Track,Marketing
2026-01-05,Tribe Dynamics creators,Daily,2026-01-05 00:00:00,0,On-Track,Marketing
2026-01-05,Spate search Google,Daily,2026-01-05 00:00:00,0,On-Track,Marketing
2026-01-05,Helium 10 Amazon search,Daily,2026-01-05 00:00:00,0,Lagging,E-Comm
2026-01-05,Bazaarvoice reviews,Daily,2026-01-05 00:00:00,6,On-Track,External
2026-01-05,PowerReviews reviews,Daily,2026-01-05 00:00:00,6,On-Track,External
2026-01-05,Mintel GNPD,Weekly,2026-01-04 00:00:00,24,Lagging,Innovation
2026-01-05,Kantar brand health,Bi-monthly,2026-01-05 00:00:00,12,On-Track,External
2026-01-05,Suzy quick survey,On-Demand,2026-01-05 00:00:00,6,On-Track,Innovation
2026-01-05,US Census ACS,Annual,2026-01-05 00:00:00,0,On-Track,External
2026-01-05,USDA ERS,Quarterly,2026-01-05 00:00:00,0,On-Track,External
2026-01-05,SymphonyAI Retail,Daily,2026-01-05 00:00:00,0,On-Track,Insights
2026-01-05,Datassential Foodservice,Quarterly,2026-01-04 00:00:00,24,Lagging,Innovation
2026-01-05,Google Trends (free),Real-time,2026-01-05 00:00:00,2,On-Track,External
2026-01-12,NielsenIQ syndicated,Daily,2026-01-12 00:00:00,6,On-Track,Insights
2026-01-12,IRI Circana syndicated,Daily,2026-01-12 00:00:00,0,On-Track,Insights
2026-01-12,Numerator panel,Daily,2026-01-12 00:00:00,2,On-Track,Insights
2026-01-12,Walmart Luminate,Daily,2026-01-12 00:00:00,2,On-Track,External
