Household_ID,Country,Country_Code,State,DMA,City,Urbanicity,Currency,HH_Size,Income_Bracket,HOH_Age,HOH_Gender,Education_Level,Marital_Status,Ethnicity,Children_Flag,Children_Age_Band,Number_Of_Children,Loyalty_Score,Brand_Loyalty_Segment,Price_Sensitivity_Segment,Adopter_Type,Cereal_Buyer_Flag,Plant_Based_Buyer_Flag,Panel_Tenure_Months,Weight
HH200000,United States,USA,TX,DAL,Plano,Urban,USD,6,50-75K,42,Female,High School,Single,Non-Hispanic White,No,None,0,0.566,Multi-Brand Switcher,Medium,Late Mainstream,Yes,Yes,39,0.8402
HH200001,United States,USA,DC,WAS,Arlington VA,Urban,USD,2,50-75K,52,Female,Graduate,Married,Non-Hispanic White,No,None,0,0.55,Acme Loyal,Low,Laggard,No,Yes,5,0.5629
HH200002,United States,USA,WA,SEA,Seattle,Suburban,USD,3,<30K,45,Female,Graduate,Married,Non-Hispanic White,No,None,0,0.85,Light Buyer,Medium,Mainstream,Yes,No,13,1.3867
HH200003,United States,USA,LA,LA-DMA,Baton Rouge,Rural,USD,3,30-50K,68,Male,Bachelors,Married,Non-Hispanic White,Yes,0-5,3,0.24,Acme Loyal,Medium,Early Adopter,No,No,4,1.3714
HH200004,United States,USA,WA,SEA,Tacoma,Suburban,USD,2,50-75K,37,Male,Some College,Married,Hispanic,No,None,0,0.375,Multi-Brand Switcher,Medium,Late Mainstream,Yes,No,72,0.8201
HH200005,United States,USA,WA,SEA,Seattle,Rural,USD,4,150K+,23,Female,High School,Married,Asian,No,None,0,0.204,Acme Loyal,Medium,Innovator,Yes,No,24,1.5983
HH200006,United States,USA,NY,NYC,New York,Urban,USD,2,30-50K,28,Female,Some College,Married,Non-Hispanic White,No,None,0,0.123,Multi-Brand Switcher,Medium,Mainstream,Yes,No,16,0.6285
HH200007,United States,USA,AZ,PHX,Tempe,Urban,USD,2,75-100K,53,Female,High School,Married,Non-Hispanic Black,No,None,0,0.127,Multi-Brand Switcher,Medium,Mainstream,Yes,No,60,0.9208
HH200008,United States,USA,MA,BOS,Worcester,Suburban,USD,3,75-100K,59,Female,Bachelors,Married,Hispanic,Yes,Mixed,1,0.854,Acme Loyal,Low,Early Adopter,Yes,Yes,41,0.8232
HH200009,United States,USA,OH,CLE,Cleveland,Urban,USD,3,<30K,37,Male,Some College,Married,Non-Hispanic White,Yes,6-11,1,0.118,Acme Loyal,Medium,Mainstream,Yes,No,56,1.0352
HH200010,United States,USA,CO,DEN,Aurora,Suburban,USD,2,75-100K,78,Male,Bachelors,Married,Non-Hispanic White,No,None,0,0.324,Acme Loyal,Low,Innovator,Yes,No,25,1.5053
HH200011,United States,USA,TX,HOU,Pasadena,Suburban,USD,3,50-75K,69,Male,Graduate,Married,Hispanic,Yes,0-5,1,0.461,Multi-Brand Switcher,Medium,Late Mainstream,Yes,No,83,0.9948
HH200012,United States,USA,AR,AR-DMA,Fayetteville,Suburban,USD,3,30-50K,41,Male,High School,Married,Hispanic,Yes,12-17,2,0.734,Acme Loyal,High,Mainstream,Yes,No,19,1.2078
HH200013,United States,USA,OH,CLE,Akron,Suburban,USD,4,<30K,56,Male,Graduate,Married,Non-Hispanic White,Yes,Mixed,3,0.61,Multi-Brand Switcher,Medium,Mainstream,No,No,94,0.6347
HH200014,United States,USA,CA,SFO,San Jose,Suburban,USD,1,100-150K,34,Male,Graduate,Married,Non-Hispanic White,No,None,0,0.907,Acme Loyal,Low,Mainstream,Yes,Yes,69,0.6573
HH200015,United States,USA,OH,CLE,Akron,Suburban,USD,2,50-75K,57,Male,Some College,Divorced,Non-Hispanic White,No,None,0,0.456,Multi-Brand Switcher,Medium,Mainstream,Yes,No,30,0.9577
HH200016,United States,USA,FL,MIA,Fort Lauderdale,Urban,USD,5,100-150K,59,Female,Graduate,Single,Asian,Yes,6-11,1,0.335,Multi-Brand Switcher,High,Mainstream,Yes,No,17,0.5087
HH200017,United States,USA,OK,OK-DMA,Norman,Suburban,USD,3,150K+,44,Male,High School,Married,Non-Hispanic White,Yes,12-17,2,0.382,Light Buyer,Medium,Late Mainstream,Yes,No,85,0.7555
HH200018,United States,USA,MO,KAN,Kansas City,Urban,USD,4,50-75K,67,Female,Bachelors,Married,Hispanic,No,None,0,0.219,Competitor Loyal,High,Mainstream,Yes,Yes,3,1.3138
HH200019,United States,USA,CO,DEN,Denver,Urban,USD,1,<30K,28,Female,Bachelors,Married,Non-Hispanic White,No,None,0,0.65,Acme Loyal,Low,Innovator,Yes,No,73,0.9261
