Cohort,DMA,Quarter,Wave_Close_Date,HH_Penetration_Pct,Purchases_Per_Buyer_Per_Qtr,N_Panel_HH,Source
cereal-skipper,US-NAT,FY25Q1,2025-03-15,18.3,0.91,569,Kantar Worldpanel
cereal-skipper,US-NAT,FY25Q2,2025-06-15,18.7,0.82,479,Kantar Worldpanel
cereal-skipper,US-NAT,FY25Q3,2025-09-15,19.1,0.92,552,Kantar Worldpanel
cereal-skipper,US-NAT,FY25Q4,2025-12-15,19.5,0.9,760,Kantar Worldpanel
cereal-skipper,US-NAT,FY26Q1,2026-03-15,20.3,0.86,864,Kantar Worldpanel
cereal-skipper,US-NAT,FY26Q2,2026-06-15,20.8,0.95,816,Kantar Worldpanel
cereal-skipper,LA-DMA,FY25Q1,2025-03-15,19.5,1.0,1082,Kantar Worldpanel
cereal-skipper,LA-DMA,FY25Q2,2025-06-15,20.0,0.9,1052,Kantar Worldpanel
cereal-skipper,LA-DMA,FY25Q3,2025-09-15,20.5,1.04,560,Kantar Worldpanel
cereal-skipper,LA-DMA,FY25Q4,2025-12-15,21.4,1.0,746,Kantar Worldpanel
cereal-skipper,LA-DMA,FY26Q1,2026-03-15,21.3,0.87,938,Kantar Worldpanel
cereal-skipper,LA-DMA,FY26Q2,2026-06-15,22.0,0.81,583,Kantar Worldpanel
cereal-skipper,US-MW,FY25Q1,2025-03-15,15.1,0.82,500,Kantar Worldpanel
cereal-skipper,US-MW,FY25Q2,2025-06-15,15.4,1.04,1146,Kantar Worldpanel
cereal-skipper,US-MW,FY25Q3,2025-09-15,16.1,0.76,1180,Kantar Worldpanel
cereal-skipper,US-MW,FY25Q4,2025-12-15,16.7,1.0,786,Kantar Worldpanel
cereal-skipper,US-MW,FY26Q1,2026-03-15,16.9,0.89,914,Kantar Worldpanel
cereal-skipper,US-MW,FY26Q2,2026-06-15,17.5,0.91,688,Kantar Worldpanel
cereal-skipper,US-SE,FY25Q1,2025-03-15,19.4,1.05,1150,Kantar Worldpanel
cereal-skipper,US-SE,FY25Q2,2025-06-15,20.1,0.93,494,Kantar Worldpanel
cereal-skipper,US-SE,FY25Q3,2025-09-15,20.2,0.75,464,Kantar Worldpanel
cereal-skipper,US-SE,FY25Q4,2025-12-15,20.8,0.93,1019,Kantar Worldpanel
cereal-skipper,US-SE,FY26Q1,2026-03-15,21.2,1.05,815,Kantar Worldpanel
cereal-skipper,US-SE,FY26Q2,2026-06-15,21.7,0.87,819,Kantar Worldpanel
cereal-skipper,US-NE,FY25Q1,2025-03-15,21.0,1.0,1071,Kantar Worldpanel
cereal-skipper,US-NE,FY25Q2,2025-06-15,21.7,1.05,499,Kantar Worldpanel
cereal-skipper,US-NE,FY25Q3,2025-09-15,22.1,0.89,596,Kantar Worldpanel
cereal-skipper,US-NE,FY25Q4,2025-12-15,22.3,0.94,455,Kantar Worldpanel
cereal-skipper,US-NE,FY26Q1,2026-03-15,23.0,0.84,1110,Kantar Worldpanel
cereal-skipper,US-NE,FY26Q2,2026-06-15,23.1,0.77,895,Kantar Worldpanel
protein-returner,US-NAT,FY25Q1,2025-03-15,11.5,4.24,1091,Kantar Worldpanel
protein-returner,US-NAT,FY25Q2,2025-06-15,12.0,4.35,512,Kantar Worldpanel
protein-returner,US-NAT,FY25Q3,2025-09-15,12.1,4.45,718,Kantar Worldpanel
protein-returner,US-NAT,FY25Q4,2025-12-15,12.8,4.54,1064,Kantar Worldpanel
protein-returner,US-NAT,FY26Q1,2026-03-15,12.8,4.58,516,Kantar Worldpanel
protein-returner,US-NAT,FY26Q2,2026-06-15,13.1,4.56,862,Kantar Worldpanel
protein-returner,LA-DMA,FY25Q1,2025-03-15,8.1,4.28,910,Kantar Worldpanel
protein-returner,LA-DMA,FY25Q2,2025-06-15,8.3,4.23,585,Kantar Worldpanel
protein-returner,LA-DMA,FY25Q3,2025-09-15,8.9,4.27,902,Kantar Worldpanel
protein-returner,LA-DMA,FY25Q4,2025-12-15,9.1,4.41,904,Kantar Worldpanel
protein-returner,LA-DMA,FY26Q1,2026-03-15,9.2,4.6,586,Kantar Worldpanel
protein-returner,LA-DMA,FY26Q2,2026-06-15,9.7,4.61,820,Kantar Worldpanel
protein-returner,US-MW,FY25Q1,2025-03-15,12.5,4.24,1023,Kantar Worldpanel
protein-returner,US-MW,FY25Q2,2025-06-15,13.0,4.28,872,Kantar Worldpanel
protein-returner,US-MW,FY25Q3,2025-09-15,13.5,4.46,913,Kantar Worldpanel
protein-returner,US-MW,FY25Q4,2025-12-15,13.5,4.39,1061,Kantar Worldpanel
protein-returner,US-MW,FY26Q1,2026-03-15,13.9,4.44,783,Kantar Worldpanel
protein-returner,US-MW,FY26Q2,2026-06-15,14.5,4.53,454,Kantar Worldpanel
protein-returner,US-SE,FY25Q1,2025-03-15,9.1,4.28,1100,Kantar Worldpanel
protein-returner,US-SE,FY25Q2,2025-06-15,9.8,4.34,841,Kantar Worldpanel
protein-returner,US-SE,FY25Q3,2025-09-15,10.1,4.39,1153,Kantar Worldpanel
protein-returner,US-SE,FY25Q4,2025-12-15,10.4,4.38,610,Kantar Worldpanel
protein-returner,US-SE,FY26Q1,2026-03-15,10.8,4.57,455,Kantar Worldpanel
