Period,Brand,Retailer,DMA,Plan_Revenue_USD,Plan_Units,Actual_Revenue_USD,Actual_Units,Variance_USD,Variance_Pct,Variance_Status,Plan_Source
2024-01,Crunchwell,Walmart,LA-DMA,122145.59,19090,112330.87,24434,-9814.72,-0.0804,Soft,AOP
2024-01,Crunchwell,Walmart,DAL,274827.57,59240,269085.37,50493,-5742.2,-0.0209,On-Track,AOP
2024-01,Crunchwell,Walmart,HOU,274827.57,54004,259430.62,57024,-15396.95,-0.056,Soft,AOP
2024-01,Crunchwell,Walmart,ATL,244291.17,46209,227925.55,42320,-16365.62,-0.067,Soft,AOP
2024-01,Crunchwell,Walmart,CHI,378651.32,78271,352522.97,75020,-26128.35,-0.069,Soft,AOP
2024-01,Crunchwell,Walmart,NYC,549655.14,113282,538137.75,104713,-11517.39,-0.021,On-Track,AOP
2024-01,Crunchwell,Walmart,LAX,488582.35,88312,475157.48,101434,-13424.87,-0.0275,On-Track,AOP
2024-01,Crunchwell,Walmart,MIN,183218.38,31447,168806.89,28925,-14411.49,-0.0787,Soft,AOP
2024-01,Crunchwell,Walmart,DEN,152681.98,26012,153148.76,33873,466.78,0.0031,On-Track,AOP
2024-01,Crunchwell,Walmart,PHX,213754.78,43868,205266.78,35867,-8488.0,-0.0397,Soft,AOP
2024-01,Crunchwell,Walmart,SEA,183218.38,29325,183985.69,36262,767.31,0.0042,On-Track,AOP
2024-01,Crunchwell,Walmart,BOS,183218.38,29572,178410.8,30920,-4807.58,-0.0262,On-Track,AOP
2024-01,Crunchwell,Walmart,PHL,244291.17,45764,241999.29,48489,-2291.88,-0.0094,On-Track,AOP
2024-01,Crunchwell,Walmart,DET,183218.38,38329,171541.83,28289,-11676.55,-0.0637,Soft,AOP
2024-01,Crunchwell,Walmart,MIA,244291.17,52110,243730.77,42295,-560.4,-0.0023,On-Track,AOP
2024-01,Crunchwell,Walmart,MS-DMA,109931.03,23028,109449.31,17655,-481.72,-0.0044,On-Track,AOP
2024-01,Crunchwell,Walmart,AL-DMA,152681.98,26601,145026.31,22470,-7655.67,-0.0501,Soft,AOP
2024-01,Crunchwell,Walmart,AR-DMA,122145.59,19041,123234.38,27035,1088.79,0.0089,On-Track,AOP
2024-01,Crunchwell,Walmart,OK-DMA,146574.7,23820,141959.28,30613,-4615.42,-0.0315,Soft,AOP
2024-01,Crunchwell,Walmart,ORL,183218.38,38698,172749.29,36204,-10469.09,-0.0571,Soft,AOP
2024-01,Crunchwell,Walmart,CIN,134360.15,29056,129054.73,25488,-5305.42,-0.0395,Soft,AOP
2024-01,Crunchwell,Walmart,STL,152681.98,24977,142981.61,27945,-9700.37,-0.0635,Soft,AOP
2024-01,Crunchwell,Walmart,KAN,122145.59,18946,115606.58,20945,-6539.01,-0.0535,Soft,AOP
2024-01,Crunchwell,Walmart,PIT,122145.59,19474,116305.22,20755,-5840.37,-0.0478,Soft,AOP
2024-01,Crunchwell,Walmart,PDX,122145.59,21669,112920.32,18355,-9225.27,-0.0755,Soft,AOP
2024-01,Crunchwell,Walmart,SFO,244291.17,38006,245578.77,38784,1287.6,0.0053,On-Track,AOP
2024-01,Crunchwell,Walmart,CLE,109931.03,20532,104347.14,21319,-5583.89,-0.0508,Soft,AOP
