Event_ID,Start_Date,End_Date,Brand,Manufacturer,SKU,Product_Description,Retailer,Banner_Division,Banner_Region,DMA,Mechanic,Promo_Depth_Pct,Display_Type,Feature_Type,Trade_Spend_USD,Pre_Promo_Baseline_Units,Promo_Units,Lift_Pct,Incremental_Units,Forward_Buy_Pct,True_Incremental_Units,ROI
PE00001,2026-01-22,2026-03-05,RootDay,Acme Corp,RD002,RootDay Oat Milk Barista 32oz,Sprouts,Sprouts National,Sprouts National,LAX,Multi-Buy,22,None,Retailer_Circular,1979.77,1003,1589,0.5851,586,0.2465,441,0.41
PE00002,2026-05-31,2026-06-21,Quaker,Larksfield Foods,QT001,Quaker Old Fashioned 18oz,Rouses,Rouses Other,Rouses Other,DET,TPR,22,None,None,991.31,338,652,0.9307,314,0.1999,251,0.47
PE00003,2026-02-11,2026-03-18,TrailGrove,Acme Corp,TG007,TrailGrove Bars Honey Almond,Rouses,Rouses Other,Rouses Other,IND,TPR,10,None,Digital_Coupon,3289.74,3418,5451,0.5949,2033,0.1976,1631,1.15
PE00004,2025-02-26,2025-03-26,RootDay,Acme Corp,RD001,RootDay Oat Milk Original 32oz,Sams Club,Sams Club National,Sams Club National,NYC,Feature,10,None,None,2965.25,3941,5419,0.3752,1478,0.1956,1188,0.72
PE00005,2025-11-27,2026-01-01,Crunchwell,Acme Corp,CR006,Crunchwell Cinnamon Twist 14oz,Whole Foods,Whole Foods National,Whole Foods National,NYC,Multi-Buy,30,None,Retailer_Circular,10047.75,5170,7428,0.4369,2258,0.0609,2120,0.36
PE00006,2024-12-23,2025-01-13,Crunchwell,Acme Corp,CR002,Crunchwell Original Mega 18oz,Publix,Publix Other,Publix Other,SFO,TPR,8,None,None,514.09,750,986,0.3156,236,0.2514,176,0.8
PE00007,2024-10-14,2024-11-25,HoneyNest,Acme Corp,HN001,HoneyNest Original 12oz,Publix,Publix Other,Publix Other,WAS,Display,22,In-Aisle,None,12053.81,5844,12473,1.1344,6629,0.1431,5680,0.74
PE00008,2026-05-05,2026-06-02,ProteinPeak,Acme Corp,PP005,ProteinPeak Cinnamon Crunch 12oz,Target,Target Central,Target Central,CIN,Feature+Display,15,Lobby,Digital_Coupon,1641.71,939,1347,0.4348,408,0.2608,301,0.53
PE00009,2025-08-05,2025-09-09,ProteinPeak,Acme Corp,PP003,ProteinPeak Berry Crunch 12oz,Kroger,Kroger Atlanta,Kroger Southeast,ORL,Display,10,In-Aisle,None,3872.26,3624,5576,0.5387,1952,0.2608,1442,1.22
PE00010,2026-05-14,2026-06-11,Field & Honey,Kellanova,PF001,Field & Honey 14oz,Amazon,Amazon E-Commerce,Amazon E-Commerce,CHI,Coupon,10,None,Digital_Coupon,2552.66,3607,5384,0.4929,1777,0.2147,1395,0.99
PE00011,2024-09-19,2024-10-31,Crunchwell,Acme Corp,CR002,Crunchwell Original Mega 18oz,H-E-B,H-E-B Other,H-E-B Other,MIN,Feature,28,None,None,5724.4,2144,3176,0.4817,1032,0.3044,717,0.29
PE00012,2026-02-17,2026-03-31,Cheerios,Larksfield Foods,GM001,Cheerios 12oz,Amazon,Amazon E-Commerce,Amazon E-Commerce,STL,Multi-Buy,10,None,Retailer_Circular,1853.59,3005,3944,0.3127,939,0.2756,680,0.72
