Date,Platform,Keyword,Category,Volume_Index_0to100,Brand_Relevance,MoM_Growth_Pct,Source
2024-01-01,Google,high-protein cereal,RTE Cereal,79.9,category,18.0,Spate
2024-02-01,Google,high-protein cereal,RTE Cereal,78.7,category,18.0,Spate
2024-03-01,Google,high-protein cereal,RTE Cereal,89.7,category,18.0,Spate
2024-04-01,Google,high-protein cereal,RTE Cereal,78.8,category,18.0,Spate
2024-05-01,Google,high-protein cereal,RTE Cereal,75.9,category,18.0,Spate
2024-06-01,Google,high-protein cereal,RTE Cereal,74.5,category,18.0,Spate
2024-07-01,Google,high-protein cereal,RTE Cereal,81.2,category,18.0,Spate
2024-08-01,Google,high-protein cereal,RTE Cereal,94.4,category,18.0,Spate
2024-09-01,Google,high-protein cereal,RTE Cereal,88.8,category,18.0,Spate
2024-10-01,Google,high-protein cereal,RTE Cereal,78.9,category,18.0,Spate
2024-11-01,Google,high-protein cereal,RTE Cereal,89.0,category,18.0,Spate
2024-12-01,Google,high-protein cereal,RTE Cereal,82.4,category,18.0,Spate
2025-01-01,Google,high-protein cereal,RTE Cereal,84.6,category,18.0,Spate
2025-02-01,Google,high-protein cereal,RTE Cereal,96.3,category,18.0,Spate
2025-03-01,Google,high-protein cereal,RTE Cereal,100.0,category,18.0,Spate
2025-04-01,Google,high-protein cereal,RTE Cereal,92.0,category,18.0,Spate
2025-05-01,Google,high-protein cereal,RTE Cereal,93.4,category,18.0,Spate
2025-06-01,Google,high-protein cereal,RTE Cereal,100.0,category,18.0,Spate
2025-07-01,Google,high-protein cereal,RTE Cereal,100.0,category,18.0,Spate
2025-08-01,Google,high-protein cereal,RTE Cereal,100.0,category,18.0,Spate
2025-09-01,Google,high-protein cereal,RTE Cereal,100.0,category,18.0,Spate
2025-10-01,Google,high-protein cereal,RTE Cereal,97.1,category,18.0,Spate
2025-11-01,Google,high-protein cereal,RTE Cereal,100.0,category,18.0,Spate
2025-12-01,Google,high-protein cereal,RTE Cereal,97.1,category,18.0,Spate
2026-01-01,Google,high-protein cereal,RTE Cereal,100.0,category,18.0,Spate
2026-02-01,Google,high-protein cereal,RTE Cereal,97.4,category,18.0,Spate
2026-03-01,Google,high-protein cereal,RTE Cereal,100.0,category,18.0,Spate
2024-01-01,Amazon,high-protein cereal,RTE Cereal,60.5,category,18.0,Helium 10
2024-02-01,Amazon,high-protein cereal,RTE Cereal,70.8,category,18.0,Helium 10
2024-03-01,Amazon,high-protein cereal,RTE Cereal,68.0,category,18.0,Helium 10
2024-04-01,Amazon,high-protein cereal,RTE Cereal,62.5,category,18.0,Helium 10
2024-05-01,Amazon,high-protein cereal,RTE Cereal,71.5,category,18.0,Helium 10
2024-06-01,Amazon,high-protein cereal,RTE Cereal,73.3,category,18.0,Helium 10
2024-07-01,Amazon,high-protein cereal,RTE Cereal,69.2,category,18.0,Helium 10
2024-08-01,Amazon,high-protein cereal,RTE Cereal,70.9,category,18.0,Helium 10
2024-09-01,Amazon,high-protein cereal,RTE Cereal,75.0,category,18.0,Helium 10
2024-10-01,Amazon,high-protein cereal,RTE Cereal,79.9,category,18.0,Helium 10
2024-11-01,Amazon,high-protein cereal,RTE Cereal,70.0,category,18.0,Helium 10
2024-12-01,Amazon,high-protein cereal,RTE Cereal,82.1,category,18.0,Helium 10
2025-01-01,Amazon,high-protein cereal,RTE Cereal,77.8,category,18.0,Helium 10
2025-02-01,Amazon,high-protein cereal,RTE Cereal,70.3,category,18.0,Helium 10
2025-03-01,Amazon,high-protein cereal,RTE Cereal,81.4,category,18.0,Helium 10
2025-04-01,Amazon,high-protein cereal,RTE Cereal,91.4,category,18.0,Helium 10
2025-05-01,Amazon,high-protein cereal,RTE Cereal,92.0,category,18.0,Helium 10
2025-06-01,Amazon,high-protein cereal,RTE Cereal,73.7,category,18.0,Helium 10
2025-07-01,Amazon,high-protein cereal,RTE Cereal,86.5,category,18.0,Helium 10
2025-08-01,Amazon,high-protein cereal,RTE Cereal,96.3,category,18.0,Helium 10
2025-09-01,Amazon,high-protein cereal,RTE Cereal,89.0,category,18.0,Helium 10
2025-10-01,Amazon,high-protein cereal,RTE Cereal,95.7,category,18.0,Helium 10
2025-11-01,Amazon,high-protein cereal,RTE Cereal,99.0,category,18.0,Helium 10
2025-12-01,Amazon,high-protein cereal,RTE Cereal,81.2,category,18.0,Helium 10
2026-01-01,Amazon,high-protein cereal,RTE Cereal,86.3,category,18.0,Helium 10
2026-02-01,Amazon,high-protein cereal,RTE Cereal,96.3,category,18.0,Helium 10
2026-03-01,Amazon,high-protein cereal,RTE Cereal,83.1,category,18.0,Helium 10
2024-01-01,TikTok,high-protein cereal,RTE Cereal,53.0,category,18.0,Spate
2024-02-01,TikTok,high-protein cereal,RTE Cereal,55.0,category,18.0,Spate
2024-03-01,TikTok,high-protein cereal,RTE Cereal,49.6,category,18.0,Spate
2024-04-01,TikTok,high-protein cereal,RTE Cereal,45.9,category,18.0,Spate
2024-05-01,TikTok,high-protein cereal,RTE Cereal,50.9,category,18.0,Spate
2024-06-01,TikTok,high-protein cereal,RTE Cereal,51.6,category,18.0,Spate
2024-07-01,TikTok,high-protein cereal,RTE Cereal,55.5,category,18.0,Spate
2024-08-01,TikTok,high-protein cereal,RTE Cereal,50.9,category,18.0,Spate
2024-09-01,TikTok,high-protein cereal,RTE Cereal,51.2,category,18.0,Spate
2024-10-01,TikTok,high-protein cereal,RTE Cereal,48.3,category,18.0,Spate
2024-11-01,TikTok,high-protein cereal,RTE Cereal,61.9,category,18.0,Spate
2024-12-01,TikTok,high-protein cereal,RTE Cereal,59.5,category,18.0,Spate
2025-01-01,TikTok,high-protein cereal,RTE Cereal,51.6,category,18.0,Spate
2025-02-01,TikTok,high-protein cereal,RTE Cereal,55.6,category,18.0,Spate
2025-03-01,TikTok,high-protein cereal,RTE Cereal,66.1,category,18.0,Spate
2025-04-01,TikTok,high-protein cereal,RTE Cereal,56.0,category,18.0,Spate
2025-05-01,TikTok,high-protein cereal,RTE Cereal,61.3,category,18.0,Spate
2025-06-01,TikTok,high-protein cereal,RTE Cereal,65.4,category,18.0,Spate
2025-07-01,TikTok,high-protein cereal,RTE Cereal,63.0,category,18.0,Spate
2025-08-01,TikTok,high-protein cereal,RTE Cereal,56.9,category,18.0,Spate
2025-09-01,TikTok,high-protein cereal,RTE Cereal,68.5,category,18.0,Spate
