Shipment_ID,Week_Start,Brand,Manufacturer,SKU,Product_Description,Retailer,Retailer_DC,Origin_Acme_Plant,Ordered_Units,Shipped_Units,Delivered_Units,Fill_Rate_Pct,On_Time_Pct,Cut_Reason
SHP00000001,2024-01-01,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,552,544,540,0.9783,1,None
SHP00000002,2024-01-08,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1556,1460,1451,0.9325,1,None
SHP00000003,2024-01-15,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1270,1218,1197,0.9425,1,None
SHP00000004,2024-01-22,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,702,660,651,0.9274,1,None
SHP00000005,2024-01-29,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,781,736,715,0.9155,1,None
SHP00000006,2024-02-05,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,642,633,623,0.9704,1,None
SHP00000007,2024-02-12,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,825,792,787,0.9539,1,None
SHP00000008,2024-02-19,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,752,709,691,0.9189,1,None
SHP00000009,2024-02-26,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,374,362,355,0.9492,1,None
SHP00000010,2024-03-04,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1102,1037,1007,0.9138,1,None
SHP00000011,2024-03-11,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,555,544,543,0.9784,1,None
SHP00000012,2024-03-18,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,208,196,192,0.9231,1,None
SHP00000013,2024-03-25,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1169,1096,1092,0.9341,0,None
SHP00000014,2024-04-01,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1325,1322,1294,0.9766,1,None
SHP00000015,2024-04-08,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1739,1677,1633,0.939,1,None
SHP00000016,2024-04-15,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,556,540,536,0.964,1,None
SHP00000017,2024-04-22,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1153,1122,1105,0.9584,1,None
SHP00000018,2024-04-29,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1537,1465,1428,0.9291,1,None
SHP00000019,2024-05-06,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1122,1068,1038,0.9251,1,None
SHP00000020,2024-05-13,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,1502,1437,1435,0.9554,0,None
SHP00000021,2024-05-20,Crunchwell,Acme Corp,CR001,Crunchwell Original Family 14oz,Walmart,Walmart Atlanta DC,Lancaster,774,773,768,0.9922,1,None
