Snapshot_Date,Store_ID,Banner,Banner_Division,Banner_Region,DMA,State,Size_Tier,SKU,Brand,Auth_Status,Distribution_Status,Ranged_Since,ACV_Weight_Pct,Why_Not_Distributed
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,CR001,Crunchwell,Authorized,Distributed,2020-01-15,0.0446,None
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,CR002,Crunchwell,Authorized,Distributed,2024-01-15,0.0424,None
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,CR003,Crunchwell,Authorized,Distributed,2020-01-15,0.0692,None
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,CR004,Crunchwell,Not_Authorized,Out_Of_Distribution,2024-01-15,0.0718,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,CR005,Crunchwell,Authorized,Distributed,2020-01-15,0.0157,None
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,CR006,Crunchwell,Not_Authorized,Out_Of_Distribution,2025-01-15,0.0221,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,CR007,Crunchwell,Not_Authorized,Out_Of_Distribution,2018-01-15,0.0967,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,HN001,HoneyNest,Not_Authorized,Out_Of_Distribution,2024-01-15,0.0322,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,HN003,HoneyNest,Authorized,Distributed,2022-01-15,0.0128,None
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,HN007,HoneyNest,Not_Authorized,Out_Of_Distribution,2025-01-15,0.1075,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,PP001,ProteinPeak,Not_Authorized,Out_Of_Distribution,2025-01-15,0.1175,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,PP002,ProteinPeak,Authorized,Authorized_Not_Distributed,2018-01-15,0.0092,OOS
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,MO001,MorningOats,Not_Authorized,Out_Of_Distribution,2023-01-15,0.0788,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,MO004,MorningOats,Not_Authorized,Out_Of_Distribution,2018-01-15,0.0129,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,MO007,MorningOats,Authorized,Distributed,2024-01-15,0.1151,None
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,TG001,TrailGrove,Not_Authorized,Out_Of_Distribution,2020-01-15,0.1177,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,TG002,TrailGrove,Authorized,Distributed,2024-01-15,0.0522,None
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,TG007,TrailGrove,Not_Authorized,Out_Of_Distribution,2020-01-15,0.0349,store_choice
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,RD001,RootDay,Authorized,Distributed,2025-01-15,0.0963,None
2025-11-30,WEG1311,Wegmans,Wegmans Northeast,Wegmans Northeast,DET,MI,S,RD002,RootDay,Authorized,Distributed,2025-01-15,0.0778,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,CR001,Crunchwell,Authorized,Distributed,2024-01-15,0.0119,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,CR002,Crunchwell,Authorized,Distributed,2022-01-15,0.1071,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,CR003,Crunchwell,Not_Authorized,Out_Of_Distribution,2020-01-15,0.0998,store_choice
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,CR004,Crunchwell,Authorized,Distributed,2024-01-15,0.0923,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,CR005,Crunchwell,Not_Authorized,Out_Of_Distribution,2020-01-15,0.1168,store_choice
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,CR006,Crunchwell,Authorized,Distributed,2025-01-15,0.0704,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,CR007,Crunchwell,Not_Authorized,Out_Of_Distribution,2020-01-15,0.0647,store_choice
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,HN001,HoneyNest,Authorized,Distributed,2025-01-15,0.1184,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,HN003,HoneyNest,Authorized,Distributed,2024-01-15,0.0714,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,HN007,HoneyNest,Not_Authorized,Out_Of_Distribution,2023-01-15,0.0995,store_choice
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,PP001,ProteinPeak,Authorized,Distributed,2018-01-15,0.1008,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,PP002,ProteinPeak,Not_Authorized,Out_Of_Distribution,2023-01-15,0.0189,store_choice
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,MO001,MorningOats,Authorized,Distributed,2018-01-15,0.0231,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,MO004,MorningOats,Authorized,Distributed,2020-01-15,0.0246,None
2025-11-30,MEI1091,Meijer,Meijer Midwest,Meijer Midwest,WAS,DC,L,MO007,MorningOats,Authorized,Distributed,2025-01-15,0.0268,None
