Country,DMA,Region,Category,Channel,Week,Value_USD_MM,Volume_Units_K,Acme_Value_Share,Crunchwell_Value_Share,Larksfield_Value_Share,GeneralMills_Value_Share,Kellanova_Value_Share,PL_Value_Share,Promo_Share,Avg_Price_USD,ACV_Distribution_Pct,TDP,Avg_Facings
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W01,6.74,1497.8,0.0811,0.0682,0.1044,0.2784,0.2511,0.1348,0.1807,4.5,74.1,82,5.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W02,3.745,952.9,0.0736,0.0533,0.1551,0.2533,0.2045,0.1023,0.3322,3.93,85.4,89,5.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W03,1.455,307.6,0.0966,0.072,0.1625,0.2283,0.1802,0.0789,0.2254,4.73,91.5,99,6.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W04,8.323,1521.5,0.0962,0.0744,0.1711,0.2562,0.1958,0.1174,0.4019,5.47,90.7,85,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W05,5.473,998.7,0.0686,0.0505,0.1704,0.2808,0.1855,0.1366,0.198,5.48,95.1,83,6.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W06,5.29,1183.5,0.0684,0.0551,0.1412,0.3165,0.2311,0.0654,0.29,4.47,84.3,80,3.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W07,2.125,353.0,0.0829,0.0611,0.11,0.2631,0.2308,0.0966,0.2369,6.02,89.9,88,7.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W08,3.673,864.2,0.0753,0.0552,0.1798,0.318,0.2176,0.1331,0.1944,4.25,95.4,93,5.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W09,4.439,694.6,0.0778,0.0638,0.147,0.2689,0.2129,0.0709,0.2544,6.39,75.4,88,6.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W10,9.232,1605.6,0.0613,0.0457,0.157,0.2108,0.2346,0.0744,0.4009,5.75,94.6,81,4.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W11,3.754,688.8,0.0726,0.0546,0.1083,0.2689,0.2532,0.0613,0.2286,5.45,89.0,89,7.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W12,3.596,675.9,0.0771,0.0559,0.1511,0.2751,0.2551,0.0837,0.368,5.32,78.4,73,6.9
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W13,8.512,2391.1,0.0714,0.047,0.1044,0.2732,0.2124,0.1181,0.4129,3.56,86.7,75,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W14,5.668,1102.7,0.0713,0.049,0.1424,0.3162,0.2518,0.0948,0.2585,5.14,85.6,98,6.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W15,5.973,840.1,0.0773,0.0611,0.1799,0.211,0.2144,0.1297,0.201,7.11,80.2,70,7.0
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W16,8.384,1510.6,0.0892,0.0724,0.1301,0.2902,0.2553,0.0687,0.4134,5.55,76.4,83,6.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W17,8.808,2048.3,0.0867,0.0669,0.1667,0.2475,0.1811,0.1397,0.3205,4.3,94.1,88,4.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W18,8.414,2311.6,0.0776,0.0582,0.1688,0.2771,0.2468,0.0748,0.1894,3.64,75.2,67,3.8
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W19,2.545,724.9,0.0786,0.0613,0.1327,0.3026,0.257,0.0618,0.2511,3.51,87.6,97,4.6
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W20,3.683,610.8,0.096,0.0724,0.1609,0.2087,0.2452,0.1095,0.34,6.03,72.8,82,4.0
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W21,1.55,317.7,0.0779,0.0588,0.1429,0.3026,0.2296,0.1056,0.2884,4.88,83.4,79,5.6
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W22,2.09,380.0,0.0825,0.0632,0.134,0.2771,0.2424,0.1145,0.2374,5.5,93.4,77,5.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W23,5.586,841.2,0.0902,0.0745,0.1027,0.2016,0.2381,0.1372,0.3898,6.64,85.9,92,5.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W24,6.692,1803.7,0.0741,0.055,0.1095,0.2916,0.2498,0.1002,0.1818,3.71,79.7,88,5.5
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W25,3.012,788.5,0.098,0.0745,0.1707,0.2232,0.2129,0.0826,0.3002,3.82,89.1,74,7.2
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W26,1.153,281.3,0.0712,0.0546,0.1324,0.312,0.1808,0.0666,0.3449,4.1,86.9,87,4.3
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W27,8.982,1270.5,0.0853,0.0624,0.1504,0.2886,0.2599,0.1204,0.2801,7.07,75.1,93,3.7
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W28,8.082,2104.8,0.0745,0.0617,0.1426,0.2272,0.2564,0.085,0.2892,3.84,85.2,86,6.4
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W29,0.895,241.8,0.0778,0.0637,0.1354,0.2789,0.1845,0.1357,0.2466,3.7,89.5,84,7.1
United States,LA-DMA,Southeast,RTE Cereal,Mass,2024-W30,4.193,1097.8,0.0752,0.0535,0.1294,0.299,0.1867,0.14,0.2078,3.82,91.8,84,5.3
