Response_ID,Field_Date,Wave,Cohort,DMA,State,Primary_Occasion,Skip_Cereal_3plus_Mornings,Cite_Protein_As_Swap_Driver,Intent_Add_Protein_Morning_0to10,Skip_Frequency_Mornings_Per_Wk,Chocolate_Breakfast_Pref,GLP1_Adjacent,HOH_Age_Band,Income_Band,Presence_Of_Kids_5_14,Vendor,Respondent_Weight
UA_000001,2026-04-08,2026Q2,cereal-skipper,AL-DMA,AL,evening,1,0,7.6,3.2,0,0,35-44,150K+,1,Ipsos,0.8973
UA_000002,2026-04-08,2026Q2,cereal-skipper,LAX,CA,evening,1,1,6.1,3.0,0,0,35-44,<30K,0,Ipsos,0.6207
UA_000003,2026-04-08,2026Q2,cereal-skipper,OK-DMA,OK,weekend-am,1,1,6.2,5.0,1,0,55-64,75-100K,1,Ipsos,0.6097
UA_000004,2026-04-08,2026Q2,cereal-skipper,WAS,DC,afternoon-snack,1,0,7.4,4.0,1,0,55-64,150K+,0,Ipsos,1.3598
UA_000005,2026-04-08,2026Q2,cereal-skipper,LAX,CA,post-workout,1,1,7.2,3.0,0,0,45-54,150K+,0,Ipsos,0.806
UA_000006,2026-04-08,2026Q2,cereal-skipper,IND,IN,evening,1,0,7.9,4.1,0,0,45-54,50-75K,0,Ipsos,1.294
UA_000007,2026-04-08,2026Q2,cereal-skipper,DAL,TX,afternoon-snack,1,1,9.4,3.0,0,0,65+,30-50K,0,Ipsos,0.8056
UA_000008,2026-04-08,2026Q2,cereal-skipper,ORL,FL,weekend-am,1,1,7.0,4.4,0,0,55-64,<30K,0,Ipsos,1.0853
UA_000009,2026-04-08,2026Q2,cereal-skipper,SFO,CA,post-workout,1,1,8.0,6.1,0,1,35-44,30-50K,1,Ipsos,1.0076
UA_000010,2026-04-08,2026Q2,cereal-skipper,MIA,FL,afternoon-snack,1,1,8.2,5.1,1,0,18-24,150K+,1,Ipsos,1.1359
UA_000011,2026-04-08,2026Q2,cereal-skipper,BOS,MA,afternoon-snack,1,0,5.0,4.4,0,0,45-54,150K+,0,Ipsos,1.0094
UA_000012,2026-04-08,2026Q2,cereal-skipper,SEA,WA,weekend-am,1,0,8.3,3.1,0,0,65+,75-100K,0,Ipsos,1.189
UA_000013,2026-04-08,2026Q2,cereal-skipper,LA-DMA,LA,weekday-am,1,0,4.6,6.7,0,1,55-64,100-150K,0,Ipsos,0.9636
UA_000014,2026-04-08,2026Q2,cereal-skipper,DEN,CO,evening,1,1,8.6,4.9,0,1,35-44,30-50K,1,Ipsos,1.0388
UA_000015,2026-04-08,2026Q2,cereal-skipper,NYC,NY,weekday-am,1,1,5.9,2.9,0,0,65+,50-75K,1,Ipsos,1.1646
UA_000016,2026-04-08,2026Q2,cereal-skipper,PIT,PA,weekend-am,1,1,7.0,3.1,0,0,55-64,100-150K,1,Ipsos,0.7795
UA_000017,2026-04-08,2026Q2,cereal-skipper,AR-DMA,AR,post-workout,1,0,7.9,6.1,0,0,35-44,150K+,1,Ipsos,0.6761
UA_000018,2026-04-08,2026Q2,cereal-skipper,BAL,MD,weekend-am,1,0,8.0,3.6,0,0,65+,<30K,1,Ipsos,1.2463
UA_000019,2026-04-08,2026Q2,cereal-skipper,DET,MI,weekday-am,1,1,10.0,4.0,0,0,55-64,100-150K,1,Ipsos,0.6857
UA_000020,2026-04-08,2026Q2,cereal-skipper,OK-DMA,OK,evening,1,1,7.7,5.0,0,0,25-34,30-50K,0,Ipsos,0.7752
UA_000021,2026-04-08,2026Q2,cereal-skipper,DEN,CO,afternoon-snack,1,0,6.9,4.3,0,0,55-64,100-150K,0,Ipsos,1.2849
UA_000022,2026-04-08,2026Q2,cereal-skipper,PHL,PA,evening,1,1,7.3,4.5,0,0,35-44,75-100K,1,Ipsos,0.7034
