brand,dma,wave,wave_close_date,attribute,top_two_box_pct,n_respondents
Crunchwell,US-NAT,FY25Q1,2025-03-15,Trust,72.3,186
Crunchwell,US-NAT,FY25Q1,2025-03-15,Relevance,68.6,242
Crunchwell,US-NAT,FY25Q1,2025-03-15,Quality,69.3,206
Crunchwell,US-NAT,FY25Q1,2025-03-15,Taste,74.4,319
Crunchwell,US-NAT,FY25Q1,2025-03-15,Modernity,51.0,288
Crunchwell,US-NAT,FY25Q2,2025-06-15,Trust,70.9,203
Crunchwell,US-NAT,FY25Q2,2025-06-15,Relevance,66.3,309
Crunchwell,US-NAT,FY25Q2,2025-06-15,Quality,70.2,230
Crunchwell,US-NAT,FY25Q2,2025-06-15,Taste,74.5,319
Crunchwell,US-NAT,FY25Q2,2025-06-15,Modernity,51.3,294
Crunchwell,US-NAT,FY25Q3,2025-09-15,Trust,72.2,181
Crunchwell,US-NAT,FY25Q3,2025-09-15,Relevance,66.6,220
Crunchwell,US-NAT,FY25Q3,2025-09-15,Quality,70.5,267
Crunchwell,US-NAT,FY25Q3,2025-09-15,Taste,73.5,235
Crunchwell,US-NAT,FY25Q3,2025-09-15,Modernity,52.1,266
Crunchwell,US-NAT,FY25Q4,2025-12-15,Trust,71.0,277
Crunchwell,US-NAT,FY25Q4,2025-12-15,Relevance,64.0,268
Crunchwell,US-NAT,FY25Q4,2025-12-15,Quality,70.2,191
Crunchwell,US-NAT,FY25Q4,2025-12-15,Taste,74.6,317
Crunchwell,US-NAT,FY25Q4,2025-12-15,Modernity,49.6,276
Crunchwell,US-NAT,FY26Q1,2026-03-15,Trust,71.0,255
Crunchwell,US-NAT,FY26Q1,2026-03-15,Relevance,64.8,272
Crunchwell,US-NAT,FY26Q1,2026-03-15,Quality,70.2,197
Crunchwell,US-NAT,FY26Q1,2026-03-15,Taste,72.9,238
Crunchwell,US-NAT,FY26Q1,2026-03-15,Modernity,50.7,200
Crunchwell,US-NAT,FY26Q2,2026-06-15,Trust,72.9,205
Crunchwell,US-NAT,FY26Q2,2026-06-15,Relevance,62.7,296
Crunchwell,US-NAT,FY26Q2,2026-06-15,Quality,70.3,273
Crunchwell,US-NAT,FY26Q2,2026-06-15,Taste,73.2,270
Crunchwell,US-NAT,FY26Q2,2026-06-15,Modernity,48.8,248
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Trust,70.5,198
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Relevance,66.3,223
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Quality,68.1,242
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Taste,71.2,277
Crunchwell,LA-DMA,FY25Q1,2025-03-15,Modernity,49.4,236
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Trust,70.4,194
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Relevance,64.3,188
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Quality,68.7,282
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Taste,71.4,234
Crunchwell,LA-DMA,FY25Q2,2025-06-15,Modernity,50.5,260
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Trust,69.3,307
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Relevance,63.7,297
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Quality,67.1,215
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Taste,71.4,317
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Modernity,48.4,289
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Trust,71.0,282
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Relevance,62.7,215
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Quality,68.0,203
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Taste,72.6,208
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Modernity,47.7,220
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Trust,69.2,288
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Relevance,60.7,278
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Quality,66.2,299
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Taste,70.6,182
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Modernity,46.9,209
