period,brand,dma,channel,gross_revenue_kusd,trade_spend_kusd,net_revenue_kusd,units_k,acv_dist_pct,share_pct
2025-01,Crunchwell,LA-DMA,Mass,2150,560,1590,490,89,6.5
2025-01,Crunchwell,LA-DMA,Grocery,1840,475,1365,420,78,6.3
2025-01,Crunchwell,LA-DMA,Club,180,12,168,40,42,6.0
2025-01,Crunchwell,LA-DMA,E-commerce,95,8,87,21,0,5.8
2025-02,Crunchwell,LA-DMA,Mass,1980,510,1470,452,89,6.6
2025-02,Crunchwell,LA-DMA,Grocery,1690,438,1252,386,78,6.5
2025-02,Crunchwell,LA-DMA,Club,165,11,154,37,42,6.1
2025-02,Crunchwell,LA-DMA,E-commerce,88,7,81,19,0,5.9
2025-03,Crunchwell,LA-DMA,Mass,2070,540,1530,470,89,6.7
2025-03,Crunchwell,LA-DMA,Grocery,1770,460,1310,403,78,6.4
2025-03,Crunchwell,LA-DMA,Club,170,11,159,38,42,6.0
2025-03,Crunchwell,LA-DMA,E-commerce,92,7,85,20,0,5.7
2025-04,Crunchwell,LA-DMA,Mass,2050,536,1514,468,89,6.6
2025-04,Crunchwell,LA-DMA,Grocery,1740,452,1288,397,78,6.5
2025-04,Crunchwell,LA-DMA,Club,168,11,157,38,42,6.0
2025-04,Crunchwell,LA-DMA,E-commerce,98,8,90,22,0,5.7
2025-05,Crunchwell,LA-DMA,Mass,2120,552,1568,484,89,6.6
2025-05,Crunchwell,LA-DMA,Grocery,1810,470,1340,413,78,6.5
2025-05,Crunchwell,LA-DMA,Club,175,12,163,40,42,6.1
2025-05,Crunchwell,LA-DMA,E-commerce,103,8,95,23,0,5.8
2025-06,Crunchwell,LA-DMA,Mass,2080,541,1539,475,89,6.5
2025-06,Crunchwell,LA-DMA,Grocery,1780,463,1317,406,78,6.4
2025-06,Crunchwell,LA-DMA,Club,172,11,161,39,42,6.0
2025-06,Crunchwell,LA-DMA,E-commerce,101,8,93,23,0,5.8
2025-07,Crunchwell,LA-DMA,Mass,2010,523,1487,459,89,6.4
2025-07,Crunchwell,LA-DMA,Grocery,1720,447,1273,393,78,6.4
2025-07,Crunchwell,LA-DMA,Club,165,11,154,37,42,6.0
2025-07,Crunchwell,LA-DMA,E-commerce,99,8,91,22,0,5.7
