retailer,iso_week,week_start_date,hh_kids_5_14_buying_cereal_share,protein_curious_cohort_overlap,target_circle_membership_overlap,incremental_category_dollars_kusd,definition
Target,2025-W28,2025-07-13,0.258,0.64,0.693,1612.2,Households with kids 5-14 / cereal-buyer / BTS occasion
Target,2025-W29,2025-07-20,0.276,0.62,0.701,1723.8,Households with kids 5-14 / cereal-buyer / BTS occasion
Target,2025-W30,2025-07-27,0.314,0.65,0.691,1994.0,Households with kids 5-14 / cereal-buyer / BTS occasion
Target,2025-W31,2025-08-03,0.343,0.652,0.719,2137.8,Households with kids 5-14 / cereal-buyer / BTS occasion
Target,2025-W32,2025-08-10,0.412,0.649,0.693,2463.3,Households with kids 5-14 / cereal-buyer / BTS occasion
Target,2025-W33,2025-08-17,0.421,0.657,0.697,2522.3,Households with kids 5-14 / cereal-buyer / BTS occasion
Target,2025-W34,2025-08-24,0.335,0.659,0.694,1950.4,Households with kids 5-14 / cereal-buyer / BTS occasion
Walmart,2025-W28,2025-07-13,0.327,0.403,0.0,1073.9,Households with kids 5-14 / cereal-buyer / BTS occasion
Walmart,2025-W29,2025-07-20,0.36,0.42,0.0,1215.7,Households with kids 5-14 / cereal-buyer / BTS occasion
Walmart,2025-W30,2025-07-27,0.396,0.419,0.0,1365.6,Households with kids 5-14 / cereal-buyer / BTS occasion
Walmart,2025-W31,2025-08-03,0.431,0.414,0.0,1385.6,Households with kids 5-14 / cereal-buyer / BTS occasion
Walmart,2025-W32,2025-08-10,0.496,0.426,0.0,1628.2,Households with kids 5-14 / cereal-buyer / BTS occasion
Walmart,2025-W33,2025-08-17,0.504,0.391,0.0,1708.0,Households with kids 5-14 / cereal-buyer / BTS occasion
Walmart,2025-W34,2025-08-24,0.397,0.402,0.0,1330.3,Households with kids 5-14 / cereal-buyer / BTS occasion
Kroger,2025-W28,2025-07-13,0.182,0.366,0.0,460.9,Households with kids 5-14 / cereal-buyer / BTS occasion
Kroger,2025-W29,2025-07-20,0.175,0.375,0.0,571.2,Households with kids 5-14 / cereal-buyer / BTS occasion
Kroger,2025-W30,2025-07-27,0.21,0.361,0.0,621.4,Households with kids 5-14 / cereal-buyer / BTS occasion
Kroger,2025-W31,2025-08-03,0.234,0.381,0.0,590.2,Households with kids 5-14 / cereal-buyer / BTS occasion
Kroger,2025-W32,2025-08-10,0.254,0.367,0.0,727.5,Households with kids 5-14 / cereal-buyer / BTS occasion
Kroger,2025-W33,2025-08-17,0.255,0.398,0.0,668.4,Households with kids 5-14 / cereal-buyer / BTS occasion
Kroger,2025-W34,2025-08-24,0.215,0.383,0.0,554.0,Households with kids 5-14 / cereal-buyer / BTS occasion
Albertsons,2025-W28,2025-07-13,0.087,0.308,0.0,440.7,Households with kids 5-14 / cereal-buyer / BTS occasion
Albertsons,2025-W29,2025-07-20,0.116,0.316,0.0,513.0,Households with kids 5-14 / cereal-buyer / BTS occasion
Albertsons,2025-W30,2025-07-27,0.118,0.31,0.0,507.8,Households with kids 5-14 / cereal-buyer / BTS occasion
Albertsons,2025-W31,2025-08-03,0.11,0.329,0.0,679.1,Households with kids 5-14 / cereal-buyer / BTS occasion
Albertsons,2025-W32,2025-08-10,0.129,0.314,0.0,753.6,Households with kids 5-14 / cereal-buyer / BTS occasion
Albertsons,2025-W33,2025-08-17,0.158,0.293,0.0,673.2,Households with kids 5-14 / cereal-buyer / BTS occasion
Albertsons,2025-W34,2025-08-24,0.112,0.314,0.0,509.2,Households with kids 5-14 / cereal-buyer / BTS occasion
Costco,2025-W28,2025-07-13,0.146,0.48,0.0,459.5,Households with kids 5-14 / cereal-buyer / BTS occasion
Costco,2025-W29,2025-07-20,0.163,0.466,0.0,563.3,Households with kids 5-14 / cereal-buyer / BTS occasion
Costco,2025-W30,2025-07-27,0.166,0.466,0.0,544.3,Households with kids 5-14 / cereal-buyer / BTS occasion
Costco,2025-W31,2025-08-03,0.193,0.485,0.0,555.6,Households with kids 5-14 / cereal-buyer / BTS occasion
Costco,2025-W32,2025-08-10,0.215,0.483,0.0,738.7,Households with kids 5-14 / cereal-buyer / BTS occasion
Costco,2025-W33,2025-08-17,0.212,0.465,0.0,793.8,Households with kids 5-14 / cereal-buyer / BTS occasion
Costco,2025-W34,2025-08-24,0.164,0.488,0.0,558.7,Households with kids 5-14 / cereal-buyer / BTS occasion
