sku_id,sku_name,brand,retailer,price_elasticity,confidence_0to1,baseline_price_usd,model_method,last_recalibrated,sample_size_weeks,notes
CR001,Crunchwell Original Family 14oz,Crunchwell,Walmart,-1.42,0.86,4.29,Log-log MMM,2026-04-15,156,Mid-elastic; trade-spend responsive
CR001,Crunchwell Original Family 14oz,Crunchwell,Kroger,-1.31,0.82,4.29,Log-log MMM,2026-04-15,156,
CR001,Crunchwell Original Family 14oz,Crunchwell,Target,-1.18,0.78,4.29,Log-log MMM,2026-04-15,156,Less price-sensitive Target shopper
CR002,Crunchwell Original Mega 18oz,Crunchwell,Walmart,-1.84,0.84,5.49,Log-log MMM,2026-04-15,156,More elastic — Mega pack pantry-loadable
CR002,Crunchwell Original Mega 18oz,Crunchwell,Kroger,-1.71,0.81,5.49,Log-log MMM,2026-04-15,156,
CR002,Crunchwell Original Mega 18oz,Crunchwell,Target,-1.52,0.74,5.49,Log-log MMM,2026-04-15,156,
CR002,Crunchwell Original Mega 18oz,Crunchwell,Rouses,-2.12,0.66,5.49,Log-log MMM,2026-04-15,52,LA-specific; high pantry-load
CR003,Crunchwell Honey Nut 14oz,Crunchwell,Walmart,-1.58,0.84,4.49,Log-log MMM,2026-04-15,156,
CR003,Crunchwell Honey Nut 14oz,Crunchwell,Kroger,-1.46,0.80,4.49,Log-log MMM,2026-04-15,156,
CR004,Crunchwell Honey Nut Mega 18oz,Crunchwell,Walmart,-1.92,0.83,5.69,Log-log MMM,2026-04-15,156,
CR005,Crunchwell Multigrain 13oz,Crunchwell,Walmart,-1.44,0.81,4.49,Log-log MMM,2026-04-15,156,
CR005,Crunchwell Multigrain 13oz,Crunchwell,Kroger,-1.36,0.79,4.49,Log-log MMM,2026-04-15,156,
CR005,Crunchwell Multigrain 13oz,Crunchwell,Rouses,-2.04,0.62,4.49,Log-log MMM,2026-04-15,52,
CR006,Crunchwell Cinnamon Twist 14oz,Crunchwell,Walmart,-1.68,0.62,4.59,Log-log MMM,2026-04-15,52,Underperforming SKU; limited data
CR007,Crunchwell Berry Burst 13oz,Crunchwell,Walmart,-1.52,0.74,4.69,Log-log MMM,2026-04-15,124,
CR008,Crunchwell Single-Serve Cup,Crunchwell,Convenience,-1.28,0.68,5.99,Log-log MMM,2026-04-15,98,Single-serve less elastic
HN001,HoneyNest Original 12oz,HoneyNest,Walmart,-1.54,0.80,4.29,Log-log MMM,2026-04-15,156,Kid cereal — caregiver buys; mid elastic
HN003,HoneyNest Chocolate 12oz,HoneyNest,Walmart,-1.72,0.78,4.39,Log-log MMM,2026-04-15,156,
HN007,HoneyNest Frosted Flakes 14oz,HoneyNest,Walmart,-1.66,0.76,4.59,Log-log MMM,2026-04-15,156,
PP001,ProteinPeak Vanilla Almond Original 12oz,ProteinPeak,Target,-1.04,0.74,7.49,Log-log MMM,2026-04-15,156,Premium — less elastic
PP001,ProteinPeak Vanilla Almond Original 12oz,ProteinPeak,Whole Foods,-0.92,0.66,7.49,Log-log MMM,2026-04-15,156,Even less elastic in WFM
PP001,ProteinPeak Vanilla Almond Original 12oz,ProteinPeak,Amazon,-1.18,0.72,7.49,Log-log MMM,2026-04-15,156,
PP002,ProteinPeak Chocolate Hazelnut 12oz,ProteinPeak,Target,-1.12,0.62,7.49,Log-log MMM,2026-04-15,98,
PP004,ProteinPeak Single-Serve Cups,ProteinPeak,Amazon,-1.42,0.58,9.99,Log-log MMM,2026-04-15,52,
PP005,ProteinPeak Cinnamon Crunch 12oz,ProteinPeak,Target,-1.18,0.32,7.49,Log-log MMM (provisional),2026-05-04,4,Week-4 read; provisional from launch slope
PP005,ProteinPeak Cinnamon Crunch 12oz,ProteinPeak,Amazon,-1.28,0.30,7.49,Log-log MMM (provisional),2026-05-04,4,Provisional
PP005,ProteinPeak Cinnamon Crunch 12oz,ProteinPeak,Walmart,-1.48,0.24,7.49,Log-log MMM (provisional),2026-05-04,4,Walmart-pilot; mass channel under-trial
