sku_id,sku_name,brand,category,subcategory,pack_size_oz,pack_count,price_tier,avg_shelf_price_usd,fy25_revenue_musd,fy25_units_mln,national_acv_pct,launch_year,status
CR001,Crunchwell Original Family,Crunchwell,RTE Cereal,Family Oat,14,1,Mid,4.29,68.4,15.9,88,1953,Active
CR002,Crunchwell Original Mega,Crunchwell,RTE Cereal,Family Oat,18,1,Mid,5.49,52.1,9.5,76,2008,Active
CR003,Crunchwell Honey Nut,Crunchwell,RTE Cereal,Family Sweet,14,1,Mid,4.49,61.7,13.7,81,1972,Active
CR004,Crunchwell Honey Nut Mega,Crunchwell,RTE Cereal,Family Sweet,18,1,Mid,5.69,41.8,7.3,64,2010,Active
CR005,Crunchwell Multigrain,Crunchwell,RTE Cereal,Family Wholegrain,13,1,Mid,4.49,38.2,8.5,58,1995,Active
CR006,Crunchwell Cinnamon Twist,Crunchwell,RTE Cereal,Family Sweet,14,1,Mid,4.59,18.4,4.0,41,2025,Active-Underperform
CR007,Crunchwell Berry Burst,Crunchwell,RTE Cereal,Family Sweet,13,1,Mid,4.69,21.9,4.7,47,2018,Active
CR008,Crunchwell Single-Serve Cup,Crunchwell,RTE Cereal,Single-Serve,1.5,6,Premium,5.99,9.5,1.6,22,2022,Active
HN001,HoneyNest Original,HoneyNest,RTE Cereal,Kids Sweet,12,1,Mid,4.29,18.7,4.4,72,1968,Active
HN002,HoneyNest Mega,HoneyNest,RTE Cereal,Kids Sweet,16,1,Mid,5.39,12.4,2.3,58,2002,Active
HN003,HoneyNest Chocolate,HoneyNest,RTE Cereal,Kids Sweet,12,1,Mid,4.39,11.8,2.7,64,1989,Active
HN004,HoneyNest Strawberry,HoneyNest,RTE Cereal,Kids Sweet,12,1,Mid,4.39,9.2,2.1,51,1994,Active
HN005,HoneyNest Marshmallow Mix,HoneyNest,RTE Cereal,Kids Sweet,11,1,Mid,4.49,8.7,1.9,49,2012,Active
HN006,HoneyNest Cinnamon Buzz,HoneyNest,RTE Cereal,Kids Sweet,12,1,Mid,4.39,7.9,1.8,46,2007,Active
HN007,HoneyNest Frosted Flakes,HoneyNest,RTE Cereal,Kids Sweet,14,1,Mid,4.59,7.4,1.6,42,2014,Active
HN008,HoneyNest Birthday Cake,HoneyNest,RTE Cereal,Kids Sweet,12,1,Mid,4.49,5.8,1.3,38,2019,Active
HN009,HoneyNest Cocoa Buzz,HoneyNest,RTE Cereal,Kids Sweet,12,1,Mid,4.39,6.2,1.4,41,2010,Active
HN010,HoneyNest Variety Pack,HoneyNest,RTE Cereal,Kids Multi,9,1,Mid,4.99,3.5,0.7,29,2016,Active
HN011,HoneyNest Granola Crunch,HoneyNest,RTE Cereal,Kids Sweet,12,1,Mid,4.49,1.4,0.3,18,2021,Delist Q3 2026
HN012,HoneyNest Cookie Dough,HoneyNest,RTE Cereal,Kids Sweet,12,1,Mid,4.49,1.0,0.2,12,2023,Delist Q3 2026
PP001,ProteinPeak Original,ProteinPeak,RTE Cereal,Wellness Protein,12,1,Premium,7.49,25.0,3.3,54,2021,Active
PP002,ProteinPeak Chocolate Hazelnut,ProteinPeak,RTE Cereal,Wellness Protein,12,1,Premium,7.49,11.5,1.5,42,2022,Active
PP003,ProteinPeak Berry Crunch,ProteinPeak,RTE Cereal,Wellness Protein,12,1,Premium,7.49,5.2,0.7,28,2023,Active
PP004,ProteinPeak Single-Serve Cups,ProteinPeak,RTE Cereal,Single-Serve,1.7,6,Premium,9.99,6.3,0.6,18,2023,Active
MO001,MorningOats Instant Original,MorningOats,Hot Cereal,Instant,12,8,Mid,4.99,16.2,3.2,71,1991,Active
MO002,MorningOats Maple Brown Sugar,MorningOats,Hot Cereal,Instant,11.5,8,Mid,4.99,14.8,2.9,68,1991,Active
MO003,MorningOats Apple Cinnamon,MorningOats,Hot Cereal,Instant,12,8,Mid,4.99,12.4,2.5,65,1991,Active
MO004,MorningOats Cup Maple,MorningOats,Hot Cereal,Single-Serve,1.7,1,Premium,2.49,11.7,4.7,57,2018,Active
MO005,MorningOats Cup Apple Cinnamon,MorningOats,Hot Cereal,Single-Serve,1.7,1,Premium,2.49,10.9,4.4,55,2018,Active
MO006,MorningOats Cup Cinnamon Roll,MorningOats,Hot Cereal,Single-Serve,1.7,1,Premium,2.49,9.2,3.7,49,2020,Active
